name,version,license,repository,source,note
"concat-stream","1.6.2","MIT","http://github.com/maxogden/concat-stream","on-disk",""
"content-disposition","0.5.2","MIT","jshttp/content-disposition","bundled",""
"cookie","0.3.1","MIT","jshttp/cookie","on-disk",""
"core-util-is","1.0.2","MIT","git://github.com/isaacs/core-util-is","on-disk",""
"crc","3.5.0","MIT","git://github.com/alexgorbatchev/node-crc","on-disk",""
"crc32-stream","2.0.0","MIT","https://github.com/archiverjs/node-crc32-stream","on-disk",""
"cross-spawn","7.0.3","MIT","git@github.com:moxystudio/node-cross-spawn","bundled",""
"crypt","0.0.2","BSD-3-Clause","git://github.com/pvorb/node-crypt","on-disk",""
"crypto-js","4.2.0","MIT","http://github.com/brix/crypto-js","on-disk",""
"css-loader","2.1.1","MIT","webpack-contrib/css-loader","bundled",""
"csstype","3.0.5","MIT","https://github.com/frenic/csstype","on-disk",""
"csv-parser","1.12.1","MIT","https://github.com/mafintosh/csv-parser","on-disk",""
"deasync","0.1.31","MIT","https://github.com/abbr/deasync","on-disk",""
"debug","4.3.4","MIT","git://github.com/debug-js/debug","on-disk",""
"decompress-response","6.0.0","MIT","sindresorhus/decompress-response","on-disk",""
"deep-extend","0.6.0","MIT","git://github.com/unclechu/node-deep-extend","on-disk",""
"delayed-stream","1.0.0","MIT","git://github.com/felixge/node-delayed-stream","on-disk",""
"detect-libc","2.0.3","Apache-2.0","git://github.com/lovell/detect-libc","on-disk",""
"dom-helpers","5.2.0","MIT","https://github.com/react-bootstrap/dom-helpers","on-disk",""
"dunder-proto","1.0.1","MIT","https://github.com/es-shims/dunder-proto","on-disk",""
"duplexify","4.1.3","MIT","git://github.com/mafintosh/duplexify","on-disk",""
"ecdsa-sig-formatter","1.0.11","Apache-2.0","ssh://git@github.com/Brightspace/node-ecdsa-sig-formatter","on-disk",""
"electron-react-devtools","0.5.3","MIT","https://github.com/firejune/electron-react-devtools","on-disk",""
"electron-updater","4.6.5","MIT","https://github.com/electron-userland/electron-builder","on-disk",""
"electron-window-state","5.0.3","MIT","mawie81/electron-window-state","on-disk",""
"emittery","0.8.1","MIT","sindresorhus/emittery","bundled",""
"emoji-regex","8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex","on-disk",""
"enabled","2.0.0","MIT","git://github.com/3rd-Eden/enabled","on-disk",""
"end-of-stream","1.4.4","MIT","git://github.com/mafintosh/end-of-stream","on-disk",""
"engine.io-client","3.4.4","MIT","https://github.com/socketio/engine.io-client","on-disk",""
"engine.io-parser","2.2.1","MIT","git@github.com:socketio/engine.io-parser","on-disk",""
"env-paths","2.2.0","MIT","sindresorhus/env-paths","on-disk",""
"es-define-property","1.0.1","MIT","https://github.com/ljharb/es-define-property","on-disk",""
"es-errors","1.3.0","MIT","https://github.com/ljharb/es-errors","on-disk",""
"es-object-atoms","1.1.1","MIT","https://github.com/ljharb/es-object-atoms","on-disk",""
"es-set-tostringtag","2.1.0","MIT","https://github.com/es-shims/es-set-tostringtag","on-disk",""
"escalade","3.1.1","MIT","lukeed/escalade","on-disk",""
"event-target-shim","5.0.1","MIT","https://github.com/mysticatea/event-target-shim","on-disk",""
"events","1.1.1","MIT","git://github.com/Gozala/events","on-disk",""
"execa","5.0.0","MIT","sindresorhus/execa","bundled",""
"expand-template","2.0.3","(MIT OR WTFPL)","https://github.com/ralphtheninja/expand-template","on-disk",""
"exponential-backoff","3.1.3","Apache-2.0","https://github.com/coveooss/exponential-backoff","on-disk",""
"extend","3.0.2","MIT","https://github.com/justmoon/node-extend","on-disk",""
"extract-zip","1.6.7","BSD-2-Clause","maxogden/extract-zip","on-disk",""
"fast-url-parser","1.1.3","MIT","git://github.com/petkaantonov/urlparser","bundled",""
"faye-websocket","0.11.4","Apache-2.0","git://github.com/faye/faye-websocket-node","bundled",""
"fd-slicer","1.0.1","MIT","git://github.com/andrewrk/node-fd-slicer","on-disk",""
"fdir","6.5.0","MIT","https://github.com/thecodrr/fdir","on-disk",""
"fecha","4.2.3","MIT","https://taylorhakes@github.com/taylorhakes/fecha","on-disk",""
"file-uri-to-path","1.0.0","MIT","git://github.com/TooTallNate/file-uri-to-path","on-disk",""
"fn.name","1.1.0","MIT","https://github.com/3rd-Eden/fn.name","on-disk",""
"for-each","0.3.3","MIT","git://github.com/Raynos/for-each","on-disk",""
"form-data","4.0.5","MIT","git://github.com/form-data/form-data","on-disk",""
"form-data-encoder","1.7.2","MIT","octet-stream/form-data-encoder","on-disk",""
"formdata-node","4.4.1","MIT","octet-stream/form-data","on-disk",""
"from2","2.3.0","MIT","git://github.com/hughsk/from2","on-disk",""
"fs-constants","1.0.0","MIT","https://github.com/mafintosh/fs-constants","on-disk",""
"fs-extra","9.0.1","MIT","https://github.com/jprichardson/node-fs-extra","on-disk",""
"fs-minipass","3.0.3","ISC","https://github.com/npm/fs-minipass","on-disk",""
"function-bind","1.1.2","MIT","https://github.com/Raynos/function-bind","on-disk",""
"fuse.js","3.4.6","Apache-2.0","https://github.com/krisk/Fuse","bundled",""
"gaxios","6.7.1","Apache-2.0","googleapis/gaxios","on-disk",""
"gcp-metadata","6.1.0","Apache-2.0","googleapis/gcp-metadata","on-disk",""
"generate-function","1.1.0","MIT","https://github.com/mafintosh/generate-function","on-disk",""
"generate-object-property","1.2.0","MIT","https://github.com/mafintosh/generate-object-property","on-disk",""
"generator-function","2.0.1","MIT","https://github.com/TimothyGu/generator-function","on-disk",""
"get-caller-file","2.0.5","ISC","https://github.com/stefanpenner/get-caller-file","on-disk",""
"get-intrinsic","1.3.1","MIT","https://github.com/ljharb/get-intrinsic","on-disk",""
"get-proto","1.0.1","MIT","https://github.com/ljharb/get-proto","on-disk",""
"get-stream","2.3.1","MIT","sindresorhus/get-stream","on-disk+bundled",""
"github-from-package","0.0.0","MIT","git://github.com/substack/github-from-package","on-disk",""
"gl-transitions","1.43.0","MIT","https://github.com/gl-transitions/gl-transitions","bundled","Repo LICENSE is MIT; some transitions carry their own header license"
"glob","13.0.6","BlueOak-1.0.0","git@github.com:isaacs/node-glob","on-disk",""
"google-auth-library","9.15.0","Apache-2.0","googleapis/google-auth-library-nodejs","on-disk",""
"google-gax","4.4.1","Apache-2.0","https://github.com/googleapis/gax-nodejs","on-disk",""
"google-protobuf","3.21.4","(BSD-3-Clause AND Apache-2.0)","https://github.com/protocolbuffers/protobuf-javascript","on-disk",""
"gopd","1.2.0","MIT","https://github.com/ljharb/gopd","on-disk",""
"graceful-fs","4.2.8","ISC","https://github.com/isaacs/node-graceful-fs","on-disk",""
"gtoken","7.1.0","MIT","google/node-gtoken","on-disk",""
"has-binary2","1.0.2","MIT","","on-disk",""
"has-cors","1.1.0","MIT","git://github.com/component/has-cors","on-disk",""
"has-symbols","1.0.3","MIT","git://github.com/inspect-js/has-symbols","on-disk",""
"has-tostringtag","1.0.2","MIT","https://github.com/inspect-js/has-tostringtag","on-disk",""
"hasown","2.0.2","MIT","https://github.com/inspect-js/hasOwn","on-disk",""
"http-cache-semantics","4.2.0","BSD-2-Clause","https://github.com/kornelski/http-cache-semantics","on-disk",""
"http-parser-js","0.4.9","MIT","git://github.com/creationix/http-parser-js","bundled",""
"http-proxy-agent","7.0.2","MIT","https://github.com/TooTallNate/proxy-agents","on-disk",""
"https-proxy-agent","7.0.5","MIT","https://github.com/TooTallNate/proxy-agents","on-disk",""
"human-signals","2.1.0","Apache-2.0","ehmicky/human-signals","bundled",""
"humanize-ms","1.2.1","MIT","https://github.com/node-modules/humanize-ms","on-disk",""
"humps","2.0.1","MIT","git://github.com/domchristie/humps","bundled",""
"iconv-lite","0.7.2","MIT","https://github.com/pillarjs/iconv-lite","on-disk",""
"ieee754","1.2.1","BSD-3-Clause","git://github.com/feross/ieee754","on-disk",""
"immer","9.0.12","MIT","https://github.com/immerjs/immer","bundled",""
"indexof","0.0.1","MIT","","on-disk","README states MIT; no license field/file"
"inherits","2.0.4","ISC","git://github.com/isaacs/inherits","on-disk",""
"ini","1.3.7","ISC","git://github.com/isaacs/ini","on-disk",""
"into-stream","2.0.1","MIT","sindresorhus/into-stream","on-disk",""
"ip-address","10.1.0","MIT","git://github.com/beaugunderson/ip-address","on-disk",""
"is","3.3.0","MIT","git://github.com/enricomarino/is","on-disk",""
"is-arguments","1.1.1","MIT","git://github.com/inspect-js/is-arguments","on-disk",""
"is-arrayish","0.3.2","MIT","https://github.com/qix-/node-is-arrayish","on-disk",""
"is-buffer","1.1.6","MIT","git://github.com/feross/is-buffer","on-disk",""
"is-callable","1.2.7","MIT","git://github.com/inspect-js/is-callable","on-disk",""
"is-fullwidth-code-point","3.0.0","MIT","sindresorhus/is-fullwidth-code-point","on-disk",""
"is-generator-function","1.0.10","MIT","git://github.com/inspect-js/is-generator-function","on-disk",""
"is-property","1.0.2","MIT","git://github.com/mikolalysenko/is-property","on-disk",""
"is-stream","2.0.0","MIT","sindresorhus/is-stream","on-disk+bundled",""
"is-typed-array","1.1.12","MIT","git://github.com/inspect-js/is-typed-array","on-disk",""
"isarray","1.0.0","MIT","git://github.com/juliangruber/isarray","on-disk",""
"isexe","4.0.0","BlueOak-1.0.0","https://github.com/isaacs/isexe","on-disk+bundled",""
"jmespath","0.16.0","Apache-2.0","git://github.com/jmespath/jmespath.js","on-disk",""
"js-tokens","4.0.0","MIT","lydell/js-tokens","on-disk",""
"js-yaml","4.1.1","MIT","nodeca/js-yaml","on-disk",""
"json-bigint","1.0.0","MIT","git@github.com:sidorares/json-bigint","on-disk",""
"json-stringify-safe","5.0.1","ISC","git://github.com/isaacs/json-stringify-safe","on-disk",""
"jsonfile","6.0.1","MIT","git@github.com:jprichardson/node-jsonfile","on-disk",""
"jwa","2.0.1","MIT","git://github.com/brianloveswords/node-jwa","on-disk",""
"jws","4.0.1","MIT","git://github.com/brianloveswords/node-jws","on-disk",""
"kuler","2.0.0","MIT","https://github.com/3rd-Eden/kuler","on-disk",""
"lazy-val","1.0.5","MIT","develar/lazy-val","on-disk",""
"lazystream","1.0.0","MIT","https://github.com/jpommerening/node-lazystream","on-disk",""
"lodash","4.17.23","MIT","lodash/lodash","on-disk+bundled",""
"lodash-decorators","4.5.0","MIT","http://github.com/steelsojka/lodash-decorators","bundled",""
"lodash.camelcase","4.3.0","MIT","lodash/lodash","on-disk",""
"lodash.escaperegexp","4.1.2","MIT","lodash/lodash","on-disk",""
"lodash.isequal","4.5.0","MIT","lodash/lodash","on-disk",""
"logform","2.6.1","MIT","https://github.com/winstonjs/logform","on-disk",""
"long","5.2.3","Apache-2.0","https://github.com/dcodeIO/long.js","on-disk",""
"loose-envify","1.4.0","MIT","git://github.com/zertosh/loose-envify","on-disk",""
"lru-cache","6.0.0","ISC","git://github.com/isaacs/node-lru-cache","on-disk",""
"make-fetch-happen","15.0.5","ISC","https://github.com/npm/make-fetch-happen","on-disk",""
"mark.js","8.11.1","MIT","julmot/mark.js","bundled",""
"math-intrinsics","1.1.0","MIT","https://github.com/es-shims/math-intrinsics","on-disk",""
"md5","2.2.1","BSD-3-Clause","git://github.com/pvorb/node-md5","on-disk",""
"merge-stream","2.0.0","MIT","grncdr/merge-stream","bundled",""
"mime","2.4.3","MIT","https://github.com/broofa/node-mime","bundled",""
"mime-db","1.52.0","MIT","jshttp/mime-db","on-disk+bundled",""
"mime-types","2.1.35","MIT","jshttp/mime-types","on-disk+bundled",""
"mimic-fn","2.1.0","MIT","sindresorhus/mimic-fn","bundled",""
"mimic-function","5.0.1","MIT","sindresorhus/mimic-function","bundled",""
"mimic-response","3.1.0","MIT","sindresorhus/mimic-response","on-disk",""
"minimatch","10.2.5","BlueOak-1.0.0","git@github.com:isaacs/minimatch","on-disk+bundled",""
"minimist","1.2.6","MIT","git://github.com/substack/minimist","on-disk",""
"minipass","7.1.3","BlueOak-1.0.0","https://github.com/isaacs/minipass","on-disk",""
"minipass-collect","2.0.1","ISC","https://github.com/isaacs/minipass-collect","on-disk",""
"minipass-fetch","5.0.2","MIT","https://github.com/npm/minipass-fetch","on-disk",""
"minipass-flush","1.0.5","ISC","https://github.com/isaacs/minipass-flush","on-disk",""
"minipass-pipeline","1.2.4","ISC","","on-disk",""
"minipass-sized","2.0.0","ISC","https://github.com/isaacs/minipass-sized","on-disk",""
"minizlib","3.1.0","MIT","https://github.com/isaacs/minizlib","on-disk",""
"mkdirp","0.5.1","MIT","https://github.com/substack/node-mkdirp","on-disk",""
"mkdirp-classic","0.5.3","MIT","https://github.com/mafintosh/mkdirp-classic","on-disk",""
"module-alias","2.2.3","MIT","https://github.com/ilearnio/module-alias","on-disk",""
"moment","2.29.4","MIT","https://github.com/moment/moment","bundled",""
"ms","2.1.2","MIT","zeit/ms","on-disk",""
"nan","2.14.1","MIT","git://github.com/nodejs/nan","on-disk",""
"napi-build-utils","2.0.0","MIT","https://github.com/inspiredware/napi-build-utils","on-disk",""
"ndjson","1.5.0","BSD-3-Clause","git://github.com/maxogden/ndjson","on-disk",""
"neat-csv","2.1.0","MIT","sindresorhus/neat-csv","on-disk",""
"negotiator","1.0.0","MIT","jshttp/negotiator","on-disk",""
"node-abi","3.45.0","MIT","https://github.com/electron/node-abi","on-disk",""
"node-addon-api","1.7.2","MIT","git://github.com/nodejs/node-addon-api","on-disk",""
"node-domexception","1.0.0","MIT","https://github.com/jimmywarting/node-domexception","on-disk",""
"node-fetch","2.7.0","MIT","https://github.com/bitinn/node-fetch","on-disk",""
"node-gyp","12.2.0","MIT","git://github.com/nodejs/node-gyp","on-disk",""
"node-machine-id","1.1.12","MIT","git@github.com:automation-stack/node-machine-id","on-disk",""
"node-screenshots","0.2.2","Apache-2.0","","on-disk",""
"node-screenshots-win32-x64-msvc","0.2.2","Apache-2.0","","on-disk",""
"node-win32-np","1.0.6","MIT","","on-disk",""
"nopt","9.0.0","ISC","https://github.com/npm/nopt","on-disk",""
"normalize-path","2.1.1","MIT","jonschlinkert/normalize-path","on-disk",""
"npm-run-path","4.0.1","MIT","sindresorhus/npm-run-path","bundled",""
"object-assign","4.1.1","MIT","sindresorhus/object-assign","on-disk+bundled",""
"object-hash","3.0.0","MIT","https://github.com/puleos/object-hash","on-disk",""
"once","1.4.0","ISC","git://github.com/isaacs/once","on-disk",""
"one-time","1.0.0","MIT","https://github.com/3rd-Eden/one-time","on-disk",""
"onetime","5.1.2","MIT","sindresorhus/onetime","bundled",""
"openai","4.80.1","Apache-2.0","github:openai/openai-node","on-disk",""
"overlayscrollbars","1.13.0","MIT","https://github.com/KingSora/OverlayScrollbars","bundled",""
"overlayscrollbars-react","0.2.2","MIT","https://github.com/KingSora/OverlayScrollbars","on-disk+bundled",""
"overlayscrollbars-vue","0.2.2","MIT","https://github.com/KingSora/OverlayScrollbars","bundled",""
"p-map","7.0.4","MIT","sindresorhus/p-map","on-disk",""
"p-memoize","8.0.0","MIT","sindresorhus/p-memoize","bundled",""
"parseqs","0.0.6","MIT","https://github.com/get/querystring","on-disk",""
"parseuri","0.0.6","MIT","https://github.com/get/parseuri","on-disk",""
"path-browserify","1.0.1","MIT","git://github.com/browserify/path-browserify","on-disk",""
"path-is-inside","1.0.2","(WTFPL OR MIT)","domenic/path-is-inside","bundled",""
"path-key","3.1.1","MIT","sindresorhus/path-key","bundled",""
"path-scurry","2.0.2","BlueOak-1.0.0","https://github.com/isaacs/path-scurry","on-disk",""
"path-to-regexp","2.2.1","MIT","https://github.com/pillarjs/path-to-regexp","bundled",""
"pend","1.2.0","MIT","git://github.com/andrewrk/node-pend","on-disk",""
"picomatch","4.0.4","MIT","micromatch/picomatch","on-disk",""
"pify","2.3.0","MIT","sindresorhus/pify","on-disk",""
"pinkie","2.0.4","MIT","floatdrop/pinkie","on-disk",""
"pinkie-promise","2.0.1","MIT","floatdrop/pinkie-promise","on-disk",""
"popper.js","1.16.1","MIT","https://github.com/FezVrasta/popper.js","bundled",""
"prebuild-install","7.1.2","MIT","https://github.com/prebuild/prebuild-install","on-disk",""
"pretty-bytes","5.6.0","MIT","sindresorhus/pretty-bytes","bundled",""
"proc-log","6.1.0","ISC","https://github.com/npm/proc-log","on-disk",""
"process-nextick-args","2.0.1","MIT","https://github.com/calvinmetcalf/process-nextick-args","on-disk",""
"prop-types","15.7.2","MIT","facebook/prop-types","on-disk+bundled",""
"proto3-json-serializer","2.0.2","Apache-2.0","googleapis/proto3-json-serializer-nodejs","on-disk",""
"protobufjs","7.4.0","BSD-3-Clause","protobufjs/protobuf.js","on-disk",""
"pump","3.0.0","MIT","git://github.com/mafintosh/pump","on-disk",""
"punycode","1.3.2","MIT","https://github.com/bestiejs/punycode.js","on-disk",""
"querystring","0.2.0","MIT","git://github.com/Gozala/querystring","on-disk",""
"range-parser","1.2.0","MIT","jshttp/range-parser","bundled",""
"raven","2.6.4","BSD-2-Clause","git://github.com/getsentry/raven-js","on-disk",""
"rc","1.2.8","(BSD-2-Clause OR MIT OR Apache-2.0)","https://github.com/dominictarr/rc","on-disk",""
"rc-animate","3.1.1","MIT","git@github.com:react-component/animate","bundled",""
"rc-util","5.13.2","MIT","git@github.com:react-component/util","bundled",""
"react","17.0.2","MIT","https://github.com/facebook/react","bundled",""
"react-colorful","5.5.0","MIT","omgovich/react-colorful","on-disk+bundled",""
"react-devtools-electron","4.7.0","MIT","https://dimitarnestorov@github.com/dimitarnestorov/react-devtools-electron","on-disk",""
"react-dom","17.0.2","MIT","https://github.com/facebook/react","bundled",""
"react-draggable","4.4.6","MIT","https://github.com/react-grid-layout/react-draggable","bundled",""
"react-is","16.13.1","MIT","https://github.com/facebook/react","on-disk",""
"react-resizable","3.0.1","MIT","git@github.com:react-grid-layout/react-resizable","bundled",""
"react-sortablejs","6.0.0","MIT","","bundled",""
"react-transition-group","4.4.1","BSD-3-Clause","https://github.com/reactjs/react-transition-group","on-disk",""
"readable-stream","2.3.7","MIT","git://github.com/nodejs/readable-stream","on-disk",""
"realm","12.7.1","apache-2.0","https://github.com/realm/realm-js","on-disk",""
"remove-trailing-separator","1.1.0","ISC","https://github.com/darsain/remove-trailing-separator","on-disk",""
"require-directory","2.1.1","MIT","git://github.com/troygoode/node-require-directory","on-disk",""
"resize-observer-polyfill","1.5.1","MIT","https://github.com/que-etc/resize-observer-polyfill","bundled",""
